Date,Open,High,Low,Adj Close
2022-09-20,123.349998,124.400002,121.139999,122.190002
2022-09-21,122.489998,123.760002,118.449997,118.540001
2022-09-22,117.080002,118.790001,116.260002,117.309998
2022-09-23,116.0,116.050003,112.059998,113.779999
2022-09-26,113.300003,117.339996,113.129997,115.150002
2022-09-27,117.199997,118.32,113.050003,114.410004
2022-09-28,114.379997,118.699997,113.800003,118.010002
2022-09-29,115.599998,116.07,113.059998,114.800003
2022-09-30,114.080002,116.919998,112.839996,113.0
2022-10-03,113.580002,116.910004,112.449997,115.879997
2022-10-04,119.889999,123.0,119.790001,121.089996
2022-10-05,118.580002,121.75,117.690002,120.949997
2022-10-06,120.769997,121.529999,119.5,120.300003
2022-10-07,118.0,118.169998,113.879997,114.559998
2022-10-10,115.099998,116.25,112.43,113.669998
2022-10-11,112.709999,115.480003,110.389999,112.209999
2022-10-12,112.489998,113.830002,111.400002,112.900002
2022-10-13,107.879997,113.440002,105.349998,112.529999
2022-10-14,114.099998,114.959999,106.599998,106.900002
2022-10-17,110.110001,114.190002,110.089996,113.790001
2022-10-18,119.059998,119.519997,114.790001,116.360001
2022-10-19,114.709999,116.589996,113.220001,115.07
2022-10-20,113.830002,118.239998,113.510002,115.25
2022-10-21,114.790001,119.589996,114.5,119.32
2022-10-24,119.980003,120.389999,116.57,119.82
2022-10-25,119.650002,121.32,118.949997,120.599998
2022-10-26,116.0,119.349998,114.760002,115.660004
2022-10-27,113.919998,114.120003,109.769997,110.959999
2022-10-28,97.910004,103.959999,97.660004,103.410004
2022-10-31,103.559998,104.870003,100.739998,102.440002
2022-11-01,103.989998,104.580002,96.059998,96.790001
2022-11-02,97.32,97.739998,92.010002,92.120003
2022-11-03,92.470001,93.5,89.019997,89.300003
2022-11-04,91.489998,92.440002,88.040001,90.980003
2022-11-07,91.949997,92.099998,89.040001,90.529999
2022-11-08,90.790001,91.720001,88.230003,89.980003
2022-11-09,89.470001,89.480003,85.870003,86.139999
2022-11-10,92.940002,98.690002,91.650002,96.629997
2022-11-11,97.879997,101.190002,96.660004,100.790001
2022-11-14,98.769997,100.120003,97.290001,98.489998
2022-11-15,103.209999,103.790001,97.339996,98.940002
2022-11-16,96.849998,98.489998,95.540001,97.120003
2022-11-17,95.370003,96.970001,94.029999,94.849998
2022-11-18,95.949997,95.989998,92.480003,94.139999
2022-11-21,93.970001,95.019997,90.589996,92.459999
2022-11-22,92.620003,93.349998,90.870003,93.199997
2022-11-23,93.239998,94.580002,92.830002,94.129997
2022-11-25,93.790001,94.43,93.07,93.410004
2022-11-28,93.93,96.400002,93.43,93.949997
2022-11-29,94.040001,94.410004,91.440002,92.419998
2022-11-30,92.470001,96.540001,91.529999,96.540001
2022-12-01,96.989998,97.230003,94.919998,95.5
2022-12-02,94.480003,95.360001,93.779999,94.129997
2022-12-05,93.050003,94.059998,90.82,91.010002
2022-12-06,90.5,91.040001,87.900002,88.25
2022-12-07,88.339996,89.889999,87.480003,88.459999
2022-12-08,89.239998,90.860001,87.879997,90.349998
2022-12-09,88.900002,90.300003,88.629997,89.089996
2022-12-12,89.209999,90.580002,87.870003,90.550003
2022-12-13,95.230003,96.25,90.519997,92.489998
2022-12-14,92.5,93.459999,89.870003,91.580002
2022-12-15,89.889999,89.970001,87.470001,88.449997
2022-12-16,88.269997,89.349998,86.730003,87.860001
2022-12-19,87.510002,87.629997,84.510002,84.919998
2022-12-20,85.330002,86.610001,84.330002,85.190002
2022-12-21,86.18,87.230003,85.209999,86.769997
2022-12-22,85.519997,85.68,82.25,83.790001
2022-12-23,83.25,85.779999,82.93,85.25
2022-12-27,84.970001,85.349998,83.0,83.040001
2022-12-28,82.800003,83.480003,81.690002,81.82
2022-12-29,82.870003,84.550003,82.550003,84.18
2022-12-30,83.120003,84.050003,82.470001,84.0
2023-01-03,85.459999,86.959999,84.209999,85.82
2023-01-04,86.550003,86.980003,83.360001,85.139999
2023-01-05,85.330002,85.419998,83.07,83.120003
2023-01-06,83.029999,86.400002,81.43,86.080002
2023-01-09,87.459999,89.480003,87.080002,87.360001
2023-01-10,87.57,90.190002,87.290001,89.870003
2023-01-11,90.93,95.260002,90.93,95.089996
2023-01-12,96.93,97.190002,93.5,95.269997
2023-01-13,94.18,98.370003,94.120003,98.120003
2023-01-17,98.68,98.889999,95.730003,96.050003
2023-01-18,97.25,99.32,95.379997,95.459999
2023-01-19,94.739998,95.440002,92.860001,93.68
2023-01-20,93.860001,97.349998,93.199997,97.25
2023-01-23,97.559998,97.779999,95.860001,97.519997
2023-01-24,96.93,98.089996,96.0,96.32
2023-01-25,92.559998,97.239998,91.519997,97.18
2023-01-26,98.239998,99.489998,96.919998,99.220001
2023-01-27,99.529999,103.489998,99.529999,102.239998
2023-01-30,101.089996,101.739998,99.010002,100.550003
2023-01-31,101.160004,103.349998,101.139999,103.129997
2023-02-01,102.529999,106.239998,101.239998,105.150002
2023-02-02,110.25,114.0,108.879997,112.910004
2023-02-03,105.260002,108.779999,102.519997,103.389999
2023-02-06,102.93,103.949997,100.650002,102.18
2023-02-07,101.169998,102.410004,98.080002,102.110001
2023-02-08,102.040001,102.669998,98.779999,100.050003
2023-02-09,101.32,101.779999,97.57,98.239998
2023-02-10,97.559998,98.82,96.230003,97.610001
2023-02-13,97.849998,99.68,96.910004,99.540001
2023-02-14,98.410004,100.919998,97.519997,99.699997
2023-02-15,99.089996,101.169998,98.449997,101.160004
2023-02-16,99.209999,100.629997,98.099998,98.150002
2023-02-17,97.800003,97.940002,95.650002,97.199997
2023-02-21,95.339996,95.610001,94.269997,94.580002
2023-02-22,95.099998,97.010002,94.800003,95.790001
2023-02-23,96.120003,96.43,93.669998,95.82
2023-02-24,93.529999,94.139999,92.32,93.5
2023-02-27,94.279999,94.779999,93.139999,93.760002
2023-02-28,93.139999,94.690002,92.919998,94.230003
2023-03-01,93.870003,94.68,91.589996,92.169998
2023-03-02,91.410004,92.230003,90.389999,92.129997
2023-03-03,92.739998,94.940002,92.660004,94.900002
2023-03-06,95.190002,96.550003,93.739998,93.75
2023-03-07,94.059998,95.089996,92.779999,93.550003
2023-03-08,93.599998,94.169998,92.18,93.919998
2023-03-09,93.68,96.209999,92.18,92.25
2023-03-10,92.669998,93.57,90.25,90.730003
2023-03-13,89.970001,94.019997,88.120003,92.43
2023-03-14,93.830002,95.07,92.709999,94.879997
2023-03-15,93.220001,96.669998,93.07,96.199997
2023-03-16,95.75,100.989998,95.610001,100.040001
2023-03-17,99.790001,100.660004,97.459999,98.949997
2023-03-20,98.410004,98.480003,95.699997,97.709999
2023-03-21,98.139999,100.849998,98.0,100.610001
2023-03-22,100.449997,102.099998,98.610001,98.699997
2023-03-23,100.43,101.059998,97.620003,98.709999
2023-03-24,98.07,98.300003,96.400002,98.129997
2023-03-27,99.07,99.339996,97.080002,98.040001
2023-03-28,98.110001,98.440002,96.290001,97.239998
2023-03-29,98.690002,100.419998,98.559998,100.25
2023-03-30,101.550003,103.040001,101.010002,102.0
2023-03-31,102.160004,103.489998,101.949997,103.290001
2023-04-03,102.300003,103.290001,101.43,102.410004
2023-04-04,102.75,104.199997,102.110001,103.949997
2023-04-05,103.910004,103.910004,100.75,101.099998
2023-04-06,100.75,102.379997,99.800003,102.059998
2023-04-10,100.959999,102.199997,99.57,102.169998
2023-04-11,100.800003,101.0,99.010002,99.919998
2023-04-12,100.400002,100.510002,97.709999,97.830002
2023-04-13,98.949997,102.57,98.709999,102.400002
2023-04-14,102.07,103.199997,101.110001,102.510002
2023-04-17,103.160004,103.730003,101.589996,102.739998
2023-04-18,103.949997,104.199997,101.519997,102.300003
2023-04-19,101.580002,105.120003,101.389999,104.300003
2023-04-20,103.529999,105.25,103.209999,103.809998
2023-04-21,106.099998,108.150002,105.080002,106.959999
2023-04-24,107.660004,109.230003,105.07,106.209999
2023-04-25,104.910004,105.449997,102.449997,102.57
2023-04-26,105.040001,106.620003,104.099998,104.980003
2023-04-27,108.160004,110.860001,106.800003,109.82
2023-04-28,107.730003,109.480003,104.330002,105.449997
2023-05-01,104.949997,105.230003,101.82,102.050003
2023-05-02,101.470001,103.900002,101.150002,103.629997
2023-05-03,103.739998,105.959999,103.279999,103.650002
2023-05-04,104.040001,105.389999,103.309998,104.0
2023-05-05,104.269997,105.760002,103.550003,105.660004
2023-05-08,105.040001,106.099998,104.699997,105.830002
2023-05-09,105.480003,106.790001,105.160004,106.620003
2023-05-10,108.099998,110.669998,108.050003,110.190002
