Date,Open,High,Low,Adj Close
2022-09-20,76.0,76.150002,75.0,74.23912
2022-09-21,75.18,76.139999,74.830002,74.516136
2022-09-22,75.309998,77.230003,75.18,76.207878
2022-09-23,76.589996,76.660004,74.82,74.150078
2022-09-26,74.839996,75.32,74.25,73.536697
2022-09-27,74.699997,75.330002,74.470001,74.061043
2022-09-28,74.860001,75.720001,74.419998,74.585388
2022-09-29,75.190002,75.360001,74.330002,74.070938
2022-09-30,74.900002,75.300003,74.220001,73.546585
2022-10-03,74.410004,74.800003,74.110001,73.566376
2022-10-04,74.709999,75.379997,74.559998,74.199547
2022-10-05,74.839996,75.0,73.830002,73.319046
2022-10-06,74.089996,74.389999,73.650002,73.042038
2022-10-07,73.589996,73.730003,73.040001,72.567154
2022-10-10,73.349998,74.110001,73.279999,72.962891
2022-10-11,73.599998,74.019997,73.25,72.76503
2022-10-12,73.540001,73.650002,73.169998,72.715561
2022-10-13,72.919998,73.889999,72.410004,72.339615
2022-10-14,73.440002,73.660004,72.080002,71.360176
2022-10-17,72.800003,72.93,71.709999,70.994133
2022-10-18,72.230003,72.5,72.029999,71.488792
2022-10-19,72.010002,72.470001,71.790001,71.439323
2022-10-20,72.239998,73.830002,72.239998,72.52758
2022-10-21,72.93,73.169998,72.43,71.93399
2022-10-24,72.830002,72.830002,71.889999,71.736122
2022-10-25,72.730003,72.989998,72.440002,71.726227
2022-10-26,72.839996,73.040001,72.360001,71.706444
2022-10-27,72.360001,72.830002,72.050003,71.726227
2022-10-28,72.529999,73.050003,72.32,72.072495
2022-10-31,72.93,73.25,72.400002,72.023033
2022-11-01,73.260002,74.010002,73.220001,72.52758
2022-11-02,73.860001,73.959999,72.610001,71.884529
2022-11-03,72.5,72.900002,71.720001,71.132637
2022-11-04,72.080002,72.339996,71.449997,71.191994
2022-11-07,71.519997,71.68,70.940002,70.341171
2022-11-08,71.75,72.559998,71.349998,71.231567
2022-11-09,71.860001,72.209999,71.639999,70.895195
2022-11-10,72.599998,73.739998,72.029999,72.834282
2022-11-11,73.75,74.470001,73.57,73.348724
2022-11-14,74.360001,74.440002,73.919998,73.170647
2022-11-15,74.599998,74.669998,73.279999,73.091499
2022-11-16,74.110001,74.639999,73.989998,73.55648
2022-11-17,73.400002,74.110001,73.379997,73.022247
2022-11-18,74.160004,74.290001,73.839996,73.309151
2022-11-21,74.099998,74.910004,73.75,74.001686
2022-11-22,75.290001,76.059998,74.959999,75.070152
2022-11-23,75.900002,76.599998,75.739998,75.772575
2022-11-25,73.889999,74.269997,73.050003,72.685883
2022-11-28,74.57,75.669998,73.650002,73.922539
2022-11-29,74.25,74.540001,73.800003,73.546585
2022-11-30,73.779999,74.0,73.449997,73.160751
2022-12-01,74.43,75.440002,73.919998,74.38752
2022-12-02,74.699997,75.970001,74.57,74.951439
2022-12-05,76.989998,77.010002,76.040001,75.515358
2022-12-06,76.589996,76.93,76.099998,75.297699
2022-12-07,76.760002,77.080002,74.75,75.119621
2022-12-08,75.440002,75.519997,73.0,73.962112
2022-12-09,74.510002,75.470001,74.050003,74.357841
2022-12-12,75.0,77.550003,74.379997,76.534363
2022-12-13,77.349998,77.349998,76.449997,75.911087
