Date,Open,High,Low,Adj Close
2022-09-20,21.610001,21.719999,21.139999,21.18
2022-09-21,21.360001,21.76,21.07,21.09
2022-09-22,21.01,21.125,20.389999,20.440001
2022-09-23,20.209999,20.5,19.879999,20.110001
2022-09-26,20.08,20.514999,19.92,19.99
2022-09-27,20.1,20.49,19.959999,20.16
2022-09-28,20.17,20.799999,20.17,20.73
2022-09-29,20.43,20.610001,20.25,20.530001
2022-09-30,20.59,21.049999,20.59,20.719999
2022-10-03,20.9,21.445,20.809999,21.27
2022-10-04,21.76,21.940001,21.540001,21.84
2022-10-05,21.5,21.924999,21.325001,21.879999
2022-10-06,21.84,22.245001,21.74,22.059999
2022-10-07,21.65,21.73,21.0,21.07
2022-10-10,21.059999,21.15,20.120001,20.41
2022-10-11,20.34,20.5,19.885,20.07
2022-10-12,20.16,20.33,19.985001,20.030001
2022-10-13,19.379999,20.4,19.219999,20.25
2022-10-14,20.549999,20.75,20.129999,20.17
2022-10-17,20.67,20.950001,20.461,20.780001
2022-10-18,21.120001,21.620001,21.004999,21.209999
2022-10-19,20.940001,21.084999,20.735001,20.9
2022-10-20,20.98,21.495001,20.695,20.969999
2022-10-21,20.969999,21.465,20.834999,21.42
2022-10-24,21.59,21.665001,21.25,21.629999
2022-10-25,21.75,22.209999,21.73,22.120001
2022-10-26,21.790001,22.174999,21.535,21.58
2022-10-27,21.74,21.950001,21.337999,21.52
2022-10-28,21.610001,22.055,21.49,22.02
2022-10-31,21.809999,21.93,21.67,21.75
2022-11-01,21.99,22.190001,21.49,21.690001
2022-11-02,21.690001,21.690001,20.66,20.68
2022-11-03,20.57,21.07,20.42,20.43
2022-11-04,21.65,21.67,20.66,21.4
2022-11-07,21.16,21.709999,21.110001,21.51
2022-11-08,21.48,21.959999,21.285,21.58
2022-11-09,21.26,21.35,20.85,21.190001
2022-11-10,22.08,22.540001,21.969999,22.450001
2022-11-11,22.389999,23.110001,22.389999,23.059999
2022-11-14,22.799999,23.139999,22.584999,22.780001
2022-11-15,23.25,23.4,22.77,22.9
2022-11-16,22.469999,22.691,22.309999,22.43
2022-11-17,22.1,22.4,21.959999,22.23
2022-11-18,22.299999,22.530001,21.84,22.280001
2022-11-21,22.17,22.49,22.040001,22.389999
2022-11-22,22.25,22.360001,21.805,22.35
2022-11-23,22.309999,22.709999,22.237,22.440001
2022-11-25,22.32,22.434999,22.25,22.280001
2022-11-28,22.120001,22.385,22.059999,22.209999
2022-11-29,22.25,22.745001,22.215,22.540001
2022-11-30,22.469999,23.57,22.427999,23.559999
2022-12-01,23.559999,24.09,23.389999,23.75
2022-12-02,23.4,23.705,23.285,23.33
2022-12-05,23.07,23.125,22.379999,22.469999
2022-12-06,22.469999,22.530001,22.110001,22.32
2022-12-07,22.280001,22.629999,21.98,22.07
2022-12-08,22.200001,22.75,22.1,22.51
2022-12-09,22.450001,22.77,22.370001,22.389999
2022-12-12,22.32,23.129999,22.25,22.940001
2022-12-13,23.780001,23.91,23.15,23.440001
2022-12-14,23.41,23.875,23.32,23.73
2022-12-15,23.34,23.5,23.045,23.15
2022-12-16,23.08,23.34,22.940001,23.200001
2022-12-19,23.27,23.27,22.280001,22.379999
2022-12-20,22.299999,22.665001,22.200001,22.389999
2022-12-21,22.389999,22.92,22.17,22.860001
2022-12-22,22.6,22.629999,22.110001,22.41
2022-12-23,22.41,22.540001,22.129999,22.48
2022-12-27,22.459999,22.459999,22.139999,22.209999
2022-12-28,22.110001,22.375,21.959999,21.969999
2022-12-29,22.0,22.42,21.940001,22.34
2022-12-30,22.08,22.389999,21.985001,22.379999
2023-01-03,22.620001,22.860001,22.415001,22.68
2023-01-04,22.77,22.940001,22.561001,22.809999
2023-01-05,22.41,22.52,21.99,22.110001
2023-01-06,22.309999,22.344999,21.764999,22.17
2023-01-09,22.27,22.92,22.27,22.35
2023-01-10,22.370001,22.504999,22.160999,22.450001
2023-01-11,22.620001,22.98,22.450001,22.860001
2023-01-12,22.860001,23.01,22.51,22.92
2023-01-13,22.780001,23.120001,22.76,23.07
2023-01-17,22.92,23.055,22.709999,22.75
2023-01-18,23.01,23.52,22.85,22.969999
2023-01-19,22.860001,22.969999,22.51,22.530001
2023-01-20,22.549999,22.844999,22.200001,22.799999
2023-01-23,22.959999,23.41,22.82,23.389999
2023-01-24,23.389999,23.440001,22.83,22.93
2023-01-25,22.73,23.0,22.549999,22.969999
2023-01-26,23.09,23.379999,23.02,23.379999
2023-01-27,23.4,23.639,23.219999,23.389999
2023-01-30,23.110001,23.209999,22.905001,22.950001
2023-01-31,23.02,23.23,22.940001,23.23
2023-02-01,23.23,23.955,23.23,23.879999
2023-02-02,24.040001,24.719999,24.0,24.34
2023-02-03,23.92,24.51,23.77,24.059999
2023-02-06,23.83,23.91,23.375,23.440001
2023-02-07,23.52,24.218,23.33,24.110001
2023-02-08,24.129999,24.209999,23.73,23.77
2023-02-09,23.99,24.26,23.6,23.690001
2023-02-10,23.5,23.68,23.4,23.58
2023-02-13,23.700001,23.99,23.655001,23.84
2023-02-14,23.440001,24.215,23.440001,24.0
2023-02-15,23.860001,24.235001,23.725,24.17
2023-02-16,23.780001,24.190001,23.68,23.959999
2023-02-17,23.719999,23.74,21.07,21.219999
2023-02-21,20.809999,21.52,20.799999,21.290001
2023-02-22,21.209999,21.475,21.035,21.219999
2023-02-23,21.4,21.434999,20.91,21.02
