Date,Open,High,Low,Adj Close
2022-09-20,122.550003,122.629997,119.889999,119.786522
2022-09-21,121.110001,121.18,117.489998,116.755585
2022-09-22,116.650002,118.300003,116.480003,116.686028
2022-09-23,116.739998,117.309998,114.07,114.91716
2022-09-26,115.32,116.57,114.120003,114.102272
2022-09-27,115.529999,116.57,114.639999,114.420273
2022-09-28,115.830002,118.940002,115.089996,117.610214
2022-09-29,117.730003,118.25,116.099998,116.735718
2022-09-30,117.699997,118.510002,115.550003,114.986717
2022-10-03,116.230003,120.43,116.010002,119.110779
2022-10-04,120.620003,123.339996,120.620003,122.429893
2022-10-05,122.699997,123.739998,121.279999,121.903206
2022-10-06,122.879997,124.790001,122.660004,122.887032
2022-10-07,122.529999,123.339996,121.57,121.545456
2022-10-10,122.400002,122.470001,119.900002,119.925652
2022-10-11,120.230003,121.269997,118.639999,118.504585
2022-10-12,119.339996,120.199997,118.790001,118.136894
2022-10-13,116.339996,122.160004,116.220001,120.46228
2022-10-14,122.080002,123.220001,119.559998,119.617592
2022-10-17,123.199997,123.580002,120.830002,120.273453
2022-10-18,122.589996,123.989998,122.050003,122.598839
2022-10-19,122.379997,124.599998,121.93,123.065895
2022-10-20,123.620003,125.699997,122.290001,122.77771
2022-10-21,123.260002,125.309998,122.550003,124.208702
2022-10-24,125.650002,126.379997,123.800003,124.884453
2022-10-25,126.199997,127.809998,125.860001,126.941521
2022-10-26,127.75,129.539993,126.980003,126.454575
2022-10-27,127.160004,129.610001,127.110001,126.901764
2022-10-28,128.419998,130.449997,127.779999,127.438408
2022-10-31,127.919998,128.679993,125.160004,125.172646
2022-11-01,126.290001,127.699997,125.279999,125.480698
2022-11-02,126.0,132.710007,123.720001,127.855774
2022-11-03,127.510002,129.369995,126.580002,125.828514
2022-11-04,126.870003,129.820007,126.620003,128.948883
2022-11-07,130.179993,133.399994,129.960007,131.592255
2022-11-08,130.190002,131.470001,127.830002,128.29303
2022-11-09,129.0,129.139999,126.0,125.50058
2022-11-10,129.619995,131.550003,128.380005,129.485535
2022-11-11,130.610001,131.410004,128.410004,130.409714
2022-11-14,131.190002,131.690002,129.470001,128.750137
2022-11-15,130.929993,131.869995,127.099998,127.975021
2022-11-16,129.210007,130.839996,128.360001,128.531509
2022-11-17,127.279999,129.619995,126.18,127.845825
2022-11-18,129.789993,130.279999,128.460007,129.266891
2022-11-21,129.5,130.020004,126.400002,127.060768
2022-11-22,128.160004,129.649994,127.019997,128.710388
2022-11-23,130.0,131.619995,129.399994,130.141403
2022-11-25,129.979996,130.270004,129.149994,128.690521
2022-11-28,129.020004,130.139999,128.169998,127.547699
2022-11-29,127.790001,128.720001,126.910004,126.980431
2022-11-30,127.690002,131.25,126.739998,130.155197
2022-12-01,131.830002,132.070007,130.130005,130.991165
2022-12-02,130.580002,132.860001,130.360001,131.648026
2022-12-05,132.169998,133.339996,130.009995,129.796906
2022-12-06,130.160004,130.160004,126.760002,126.801292
2022-12-07,127.769997,128.100006,125.32,125.407982
2022-12-08,127.050003,127.480003,125.230003,125.507507
2022-12-09,126.099998,126.099998,124.18,124.114197
2022-12-12,125.75,126.120003,123.470001,124.999931
2022-12-13,127.760002,128.910004,124.449997,125.079552
2022-12-14,125.849998,126.629997,123.769997,124.06443
2022-12-15,123.629997,124.239998,121.330002,121.148438
2022-12-16,120.769997,121.989998,119.900002,121.158379
2022-12-19,121.559998,121.690002,120.360001,120.212921
2022-12-20,120.540001,122.059998,120.339996,119.844681
2022-12-21,121.160004,122.790001,120.169998,121.914742
2022-12-22,121.809998,122.199997,120.260002,120.839912
2022-12-23,121.019997,121.93,120.580002,120.929482
2022-12-27,121.32,121.370003,120.339996,120.242775
2022-12-28,120.900002,121.370003,119.470001,118.968895
2022-12-29,120.120003,122.900002,119.419998,121.606239
2022-12-30,121.779999,122.330002,120.790001,121.596283
2023-01-03,123.589996,124.699997,122.32,122.21331
2023-01-04,123.400002,126.199997,123.400002,124.412758
2023-01-05,124.559998,125.330002,124.040001,124.084328
2023-01-06,125.169998,125.849998,123.010002,123.298103
2023-01-09,123.889999,126.019997,123.419998,123.576759
2023-01-10,124.18,124.870003,122.300003,123.427483
2023-01-11,124.93,127.379997,123.669998,125.507507
2023-01-12,125.809998,126.5,123.620003,125.816017
2023-01-13,126.230003,126.790001,124.849998,124.860611
2023-01-17,124.650002,125.129997,123.32,123.109016
2023-01-18,123.769997,124.650002,122.529999,123.118958
2023-01-19,123.709999,124.139999,122.769997,123.128914
2023-01-20,124.43,126.199997,123.769997,125.388069
2023-01-23,125.790001,127.529999,125.32,126.801292
2023-01-24,127.709999,128.070007,126.370003,126.880898
2023-01-25,126.589996,127.650002,126.269997,126.950577
2023-01-26,128.309998,129.449997,128.190002,128.523026
2023-01-27,129.139999,130.570007,128.789993,128.254318
2023-01-30,128.919998,129.470001,128.110001,128.373749
2023-01-31,129.190002,129.990005,128.380005,128.065216
2023-02-01,116.779999,117.220001,112.580002,116.202179
2023-02-02,117.5,117.519997,114.099998,115.435852
2023-02-03,115.150002,115.540001,113.779999,113.37574
2023-02-06,113.610001,113.610001,111.720001,111.654007
2023-02-07,112.129997,114.360001,111.800003,113.634499
2023-02-08,113.230003,114.089996,112.279999,112.161568
2023-02-09,113.459999,113.949997,111.389999,111.25592
2023-02-10,111.860001,112.900002,111.410004,111.265869
2023-02-13,111.470001,113.410004,111.470001,112.65918
2023-02-14,112.809998,112.900002,111.57,111.713715
2023-02-15,111.279999,113.360001,111.279999,112.7985
2023-02-16,111.900002,113.239998,111.620003,111.186249
2023-02-17,111.150002,112.470001,110.730003,111.464912
2023-02-21,111.300003,112.239998,111.25,111.484818
