Date, Open, High, Low,Adj Close
2023-09-19,7652.94,7682.38,7642.36,7660.2
2023-09-18,7711.38,7720.14,7641.76,7652.94
2023-09-15,7673.08,7745.82,7673.08,7711.38
2023-09-14,7525.99,7686.96,7525.99,7673.08
2023-09-13,7527.53,7545.16,7490.37,7525.99
2023-09-12,7496.87,7550.24,7496.34,7527.53
2023-09-11,7478.19,7549.34,7467.35,7496.87
2023-09-08,7441.72,7480.64,7402.1,7478.19
2023-09-07,7426.14,7462.18,7385.92,7441.72
2023-09-06,7437.93,7447.94,7369.64,7426.14
2023-09-05,7452.76,7481.35,7389.8,7437.93
2023-09-04,7464.54,7523.4,7448.31,7452.76
2023-09-01,7439.13,7492.63,7439.13,7464.54
2023-08-31,7473.67,7500.44,7439.13,7439.13
2023-08-30,7464.99,7509.36,7464.73,7473.67
2023-08-29,7338.58,7471.14,7338.58,7464.99
2023-08-25,7333.63,7389.4,7326.97,7338.58
2023-08-24,7320.53,7386.08,7320.53,7333.63
2023-08-23,7270.76,7348.84,7270.76,7320.53
2023-08-22,7257.82,7310.52,7257.58,7270.76
2023-08-21,7262.43,7315.97,7250.88,7257.82
2023-08-18,7310.21,7310.21,7215.76,7262.43
2023-08-17,7356.88,7356.96,7305,7310.21
2023-08-16,7389.64,7398.2,7338.53,7356.88
2023-08-15,7507.15,7508.58,7369.69,7389.64
2023-08-14,7524.16,7530.25,7476.45,7507.15
2023-08-11,7618.6,7618.6,7507.84,7524.16
2023-08-10,7587.3,7622.92,7572.61,7618.6
2023-08-09,7527.42,7600.79,7527.42,7587.3
2023-08-08,7554.49,7554.49,7487.47,7527.42
2023-08-07,7564.37,7564.95,7505.15,7554.49
2023-08-04,7529.16,7569.55,7487.36,7564.37
2023-08-03,7561.63,7562.13,7437.88,7529.16
2023-08-02,7666.27,7666.27,7522.24,7561.63
2023-08-01,7699.41,7715.24,7650.15,7666.27
2023-07-31,7694.27,7722.92,7667.81,7699.41
2023-07-28,7692.76,7716.82,7680.19,7694.27
2023-07-27,7676.89,7709.66,7662.4,7692.76
2023-07-26,7691.8,7702.74,7630,7676.89
2023-07-25,7678.59,7702.35,7676.5,7691.8
2023-07-24,7663.73,7684.97,7633.29,7678.59
2023-07-21,7646.05,7674.23,7639.45,7663.73
2023-07-20,7588.2,7661.87,7585.85,7646.05
2023-07-19,7453.69,7625.14,7453.69,7588.2
