Date,Open,High,Low,Adj Close
2022-09-20,10.89,10.89,10.622,10.67
2022-09-21,10.472,10.676,10.472,10.57
2022-09-22,10.8,10.906,10.702,10.74
2022-09-23,10.576,10.66,10.446,10.52
2022-09-26,10.348,10.438,10.274,10.304
2022-09-27,10.32,10.506,10.32,10.394
2022-09-28,10.4,10.45,10.31,10.428
2022-09-29,10.3,10.6,10.0,10.298
2022-09-30,10.0,10.236,9.952,10.194
2022-10-03,9.87,10.104,9.84,10.02
2022-10-04,10.43,10.9,10.32,10.74
2022-10-05,10.39,10.62,10.21,10.39
2022-10-06,10.5,10.59,10.1,10.34
2022-10-07,10.37,10.62,10.16,10.27
2022-10-10,10.27,10.31,10.17,10.2
2022-10-11,10.15,10.5,10.11,10.14
2022-10-12,10.06,10.22,10.01,10.17
2022-10-13,10.0,10.34,10.0,10.31
2022-10-14,10.38,10.4,10.14,10.24
2022-10-17,10.25,10.4,10.22,10.25
2022-10-18,10.25,10.3,10.1,10.2
2022-10-19,10.12,10.24,9.96,9.99
2022-10-20,10.01,10.4,10.01,10.05
2022-10-21,10.05,10.27,9.79,10.18
2022-10-24,10.2,10.25,9.99,10.01
2022-10-25,9.77,10.14,9.77,10.1
2022-10-26,10.1,10.35,10.1,10.29
2022-10-27,10.15,10.25,10.05,10.07
2022-10-28,9.91,10.15,9.9,10.07
2022-10-31,10.1,10.39,10.1,10.12
2022-11-01,10.21,10.34,10.12,10.15
2022-11-02,10.11,10.5,10.01,10.17
2022-11-03,10.11,10.35,9.86,10.1
2022-11-04,10.11,10.24,10.05,10.18
2022-11-07,10.46,10.48,10.39,10.44
2022-11-08,10.3,10.3,9.89,9.99
2022-11-09,10.0,10.0,9.76,9.81
2022-11-10,9.99,10.28,9.99,10.26
2022-11-11,10.08,10.33,10.08,10.32
2022-11-14,10.0,10.24,10.0,10.14
2022-11-15,10.34,10.45,10.27,10.27
2022-11-16,10.33,10.4,10.27,10.33
2022-11-17,10.4,10.44,10.27,10.43
2022-11-18,10.57,10.6,10.47,10.51
2022-11-21,10.3,10.52,10.2,10.37
2022-11-22,10.37,10.5,10.37,10.5
2022-11-23,10.4,10.66,10.4,10.63
2022-11-25,10.56,10.68,10.54,10.63
2022-11-28,10.69,10.69,10.51,10.54
2022-11-29,10.5,10.61,10.5,10.59
2022-11-30,10.63,10.85,10.4,10.73
2022-12-01,10.56,10.7,10.56,10.58
2022-12-02,10.55,10.62,10.5,10.56
2022-12-05,10.42,10.55,10.31,10.34
2022-12-06,10.41,10.52,10.39,10.43
2022-12-07,10.37,10.52,10.35,10.51
2022-12-08,10.44,10.53,10.38,10.44
2022-12-09,10.45,10.46,10.35,10.39
2022-12-12,10.38,10.44,10.29,10.34
2022-12-13,10.58,10.64,10.39,10.39
2022-12-14,10.56,10.59,10.42,10.49
2022-12-15,10.46,10.46,10.18,10.24
2022-12-16,10.13,10.19,10.0,10.14
2022-12-19,10.27,10.27,10.13,10.15
2022-12-20,10.32,10.46,10.31,10.42
2022-12-21,10.54,10.57,10.34,10.44
2022-12-22,10.68,10.68,10.42,10.49
2022-12-23,10.5,10.55,10.45,10.52
2022-12-27,10.52,10.6,10.4,10.41
2022-12-28,10.48,10.58,10.37,10.37
2022-12-29,10.5,10.56,10.5,10.53
2022-12-30,10.4,10.45,10.3,10.42
2023-01-03,10.42,10.75,10.3,10.5
2023-01-04,10.65,10.65,10.34,10.37
2023-01-05,10.4,10.4,10.26,10.3
2023-01-06,10.21,10.46,10.2,10.42
2023-01-09,10.5,10.68,10.44,10.46
2023-01-10,10.41,10.41,10.27,10.35
2023-01-11,10.26,10.5,10.2,10.24
2023-01-12,10.46,10.46,10.25,10.39
2023-01-13,10.36,10.49,10.33,10.45
2023-01-17,10.63,10.78,10.61,10.76
2023-01-18,10.8,10.92,10.75,10.76
2023-01-19,10.75,10.79,10.63,10.74
2023-01-20,10.66,10.75,10.56,10.74
2023-01-23,10.63,10.7,10.57,10.66
2023-01-24,10.55,10.67,10.55,10.63
2023-01-25,10.66,10.74,10.6,10.7
2023-01-26,10.81,10.85,10.75,10.83
