Date,Open,High,Low,Adj Close
2022-09-20,22.860001,23.01,22.440001,21.917063
2022-09-21,22.66,22.700001,21.389999,20.744146
2022-09-22,21.51,21.690001,20.85,20.230391
2022-09-23,20.26,20.5,19.870001,19.551842
2022-09-26,20.040001,20.450001,19.639999,19.057474
2022-09-27,20.02,20.360001,19.27,18.805441
2022-09-28,19.360001,19.969999,19.26,19.222263
2022-09-29,19.57,19.690001,18.799999,18.369234
2022-09-30,18.959999,19.74,18.950001,18.456476
2022-10-03,19.370001,19.77,18.92,19.0187
2022-10-04,19.639999,20.08,19.41,19.454906
2022-10-05,19.67,19.709999,18.91,18.97023
2022-10-06,19.549999,19.700001,18.9,18.543716
2022-10-07,18.9,19.129999,18.49,18.078426
2022-10-10,18.75,18.92,18.4,17.991184
2022-10-11,18.4,18.690001,18.0,17.680992
2022-10-12,18.120001,18.66,17.93,17.971796
2022-10-13,18.299999,19.26,17.98,18.563103
2022-10-14,19.379999,19.440001,18.73,18.19475
2022-10-17,19.16,19.629999,18.950001,18.698811
2022-10-18,19.74,19.85,19.41,18.989618
2022-10-19,19.870001,20.09,19.01,18.495247
2022-10-20,19.030001,19.58,18.98,18.524328
2022-10-21,19.08,19.379999,18.799999,18.630957
2022-10-24,19.200001,19.360001,18.799999,18.504942
2022-10-25,19.129999,19.73,19.129999,19.067165
2022-10-26,19.610001,20.08,19.299999,18.747276
2022-10-27,19.280001,19.389999,18.360001,17.836086
2022-10-28,18.52,19.049999,18.389999,18.437086
2022-10-31,18.440001,18.700001,17.91,17.758537
2022-11-01,18.690001,19.6,18.690001,18.582491
2022-11-02,16.98,17.889999,16.76,16.275429
2022-11-03,16.799999,16.82,15.72,15.713204
2022-11-04,16.48,16.540001,15.29,15.092819
2022-11-07,15.77,16.4,15.54,15.868302
2022-11-08,16.4,17.299999,16.299999,16.071867
2022-11-09,16.18,16.290001,15.51,15.054046
2022-11-10,16.280001,17.16,16.0,16.06217
2022-11-11,16.65,19.299999,16.450001,18.233519
2022-11-14,18.57,19.110001,18.450001,17.923328
2022-11-15,19.809999,20.5,19.17,18.844217
2022-11-16,19.290001,19.290001,17.85,17.584055
2022-11-17,17.799999,18.450001,17.26,17.845779
2022-11-18,18.77,19.01,18.469999,18.08812
2022-11-21,18.66,18.85,18.23,17.95241
2022-11-22,18.58,19.190001,18.42,18.553408
2022-11-23,19.110001,19.809999,19.110001,19.057474
2022-11-25,19.6,20.049999,19.540001,19.299809
2022-11-28,19.68,19.83,19.1,18.650343
2022-11-29,19.379999,19.870001,19.280001,19.144714
2022-11-30,19.75,20.120001,19.18,19.4646
2022-12-01,20.01,20.450001,19.65,19.551842
2022-12-02,19.969999,20.49,19.719999,19.755405
2022-12-05,20.35,20.370001,19.33,18.912067
2022-12-06,19.459999,19.76,17.6,17.59375
2022-12-07,18.0,18.33,17.49,17.458038
2022-12-08,18.08,18.35,17.799999,17.54528
2022-12-09,18.18,19.309999,18.02,18.437086
2022-12-12,18.889999,20.040001,18.700001,19.067165
2022-12-13,20.360001,20.92,19.389999,19.067165
2022-12-14,19.23,19.9,19.09,18.998472
2022-12-15,18.99,19.110001,17.629999,17.330217
2022-12-16,17.639999,17.74,16.99,16.986753
2022-12-19,17.25,17.309999,16.75,16.604036
2022-12-20,16.84,17.129999,16.48,16.564781
2022-12-21,17.059999,17.34,16.809999,16.564781
2022-12-22,16.68,16.98,16.290001,16.623665
2022-12-23,16.610001,16.98,16.43,16.34889
2022-12-27,16.459999,16.719999,16.07,16.211506
2022-12-28,16.360001,16.620001,16.08,15.809162
2022-12-29,16.35,16.959999,16.280001,16.456839
2022-12-30,16.51,16.91,16.42,16.564781
2023-01-03,17.389999,17.700001,16.870001,16.751236
2023-01-04,17.4,18.549999,17.139999,18.154531
2023-01-05,18.299999,18.77,17.92,18.311544
2023-01-06,18.799999,19.08,18.280001,18.674635
2023-01-09,19.17,19.65,18.91,19.184923
2023-01-10,19.42,19.959999,19.309999,19.518574
2023-01-11,20.040001,20.110001,19.48,19.62652
2023-01-12,20.200001,20.49,19.83,19.852226
2023-01-13,19.98,20.08,19.709999,19.6854
2023-01-17,20.049999,20.860001,19.870001,20.254568
2023-01-18,20.700001,20.969999,20.01,19.646149
2023-01-19,19.610001,19.700001,19.17,19.204552
2023-01-20,19.66,20.379999,19.360001,19.920918
2023-01-23,20.370001,21.280001,20.35,20.76486
2023-01-24,21.059999,21.26,20.82,20.441021
2023-01-25,20.540001,22.040001,20.4,21.520479
2023-01-26,22.129999,22.719999,21.889999,21.991516
2023-01-27,22.35,23.290001,22.200001,22.639191
2023-01-30,22.799999,23.16,22.6,22.187782
2023-01-31,22.18,23.200001,21.780001,22.72751
2023-02-01,23.1,24.639999,22.950001,23.944355
2023-02-02,24.9,25.93,24.82,24.778484
2023-02-03,24.59,25.17,24.41,24.140621
2023-02-06,24.33,24.440001,23.870001,23.610706
2023-02-07,23.9,23.99,22.84,22.913963
2023-02-08,23.33,23.389999,22.379999,22.001329
2023-02-09,22.84,22.92,21.66,21.383095
2023-02-10,21.5,21.969999,21.41,21.186829
2023-02-13,21.559999,22.32,21.190001,21.893385
2023-02-14,22.200001,22.5,21.719999,22.030771
2023-02-15,22.950001,24.66,22.66,24.081741
2023-02-16,22.5,24.41,22.32,23.061161
2023-02-17,23.530001,24.09,23.35,23.247614
2023-02-21,23.129999,23.48,22.809999,22.501808
2023-02-22,22.9,23.57,22.879999,22.864895
2023-02-23,23.370001,23.700001,22.82,23.002285
2023-02-24,22.65,22.84,21.799999,21.88357
2023-02-27,22.440001,22.700001,21.940001,21.677494
