Date,Open,High,Low,Adj Close
2022-09-20,25.17,25.629999,24.514999,24.76
2022-09-21,25.02,25.18,23.799999,23.91
2022-09-22,23.879999,24.52,23.200001,23.209999
2022-09-23,22.99,23.360001,22.129999,22.59
2022-09-26,22.639999,23.620001,22.620001,22.809999
2022-09-27,23.24,23.52,22.235001,22.639999
2022-09-28,22.610001,24.0,22.459999,23.84
2022-09-29,23.209999,23.424999,22.635,23.190001
2022-09-30,23.0,23.860001,22.969999,23.299999
2022-10-03,23.780001,24.110001,23.299999,23.700001
2022-10-04,24.42,24.91,24.120001,24.9
2022-10-05,24.360001,24.77,23.815001,24.629999
2022-10-06,26.030001,26.32,25.379999,25.83
2022-10-07,25.469999,25.664,24.6,25.120001
2022-10-10,25.030001,25.379999,24.275,24.65
2022-10-11,24.309999,24.445,22.75,22.99
2022-10-12,22.93,23.285,22.165001,23.07
2022-10-13,21.950001,22.655001,21.5,22.200001
2022-10-14,22.549999,22.806999,21.35,21.35
2022-10-17,22.219999,22.93,22.129999,22.530001
2022-10-18,23.1,23.57,22.709999,23.32
2022-10-19,22.85,23.33,22.65,23.040001
2022-10-20,22.91,24.16,22.52,22.969999
2022-10-21,21.5,21.92,20.709999,21.5
2022-10-24,21.440001,22.059999,20.622,21.98
2022-10-25,22.15,22.875,21.870001,22.59
2022-10-26,21.73,22.594999,21.610001,22.040001
2022-10-27,21.629999,22.275,20.870001,21.889999
2022-10-28,24.424999,25.370001,23.459999,24.9
2022-10-31,24.790001,25.620001,24.549999,24.6
2022-11-01,25.01,25.24,24.18,24.200001
2022-11-02,24.200001,24.754999,23.43,23.48
2022-11-03,23.09,23.565001,22.610001,22.780001
2022-11-04,23.120001,23.299999,21.684999,22.389999
2022-11-07,22.719999,23.02,22.049999,22.58
2022-11-08,22.59,22.99,22.0,22.620001
2022-11-09,22.41,22.450001,21.059999,21.280001
2022-11-10,22.85,23.34,22.32,23.17
2022-11-11,23.200001,24.33,22.870001,24.200001
2022-11-14,23.85,25.0,23.76,24.42
2022-11-15,25.190001,26.370001,25.135,26.290001
2022-11-16,25.620001,25.889999,24.629999,25.360001
2022-11-17,24.629999,24.809999,24.045,24.52
2022-11-18,25.02,25.1,23.84,24.379999
2022-11-21,24.01,24.360001,23.475,23.799999
2022-11-22,23.68,24.51,23.381001,24.5
2022-11-23,24.540001,25.235001,24.459999,25.030001
2022-11-25,24.83,25.190001,24.719999,24.99
2022-11-28,24.65,24.959999,24.23,24.360001
2022-11-29,24.5,24.790001,23.985001,24.0
2022-11-30,23.969999,25.43,23.700001,25.42
2022-12-01,25.110001,25.700001,24.525,25.58
2022-12-02,25.004999,25.52,24.709999,24.860001
2022-12-05,24.65,24.82,23.761999,23.93
2022-12-06,24.01,24.120001,22.610001,22.719999
2022-12-07,22.91,22.969999,22.08,22.68
2022-12-08,22.950001,23.379999,22.51,22.620001
2022-12-09,22.565001,23.615,22.370001,23.16
2022-12-12,23.15,23.860001,22.927999,23.610001
2022-12-13,25.290001,26.790001,25.040001,26.42
2022-12-14,26.34,26.889999,26.030001,26.219999
2022-12-15,25.48,25.73,24.799999,25.16
2022-12-16,25.0,25.389999,24.5,24.799999
2022-12-19,24.75,24.92,24.129999,24.17
2022-12-20,23.91,24.700001,23.719999,24.440001
2022-12-21,24.51,25.385,24.139999,25.139999
2022-12-22,24.559999,24.92,24.08,24.719999
2022-12-23,24.52,24.92,24.299999,24.530001
2022-12-27,24.200001,24.26,23.41,23.43
2022-12-28,23.23,23.52,22.790001,22.860001
2022-12-29,23.129999,23.875,22.91,23.82
2022-12-30,23.290001,24.288,23.27,24.280001
2023-01-03,25.23,25.23,22.555,22.889999
2023-01-04,23.16,23.799999,22.700001,23.780001
2023-01-05,23.66,23.77,23.09,23.59
2023-01-06,23.68,24.540001,23.26,24.459999
2023-01-09,24.84,25.42,24.75,24.879999
2023-01-10,24.6,25.99,24.530001,25.940001
2023-01-11,26.0,27.190001,25.889999,27.01
2023-01-12,26.629999,26.889999,25.860001,26.440001
2023-01-13,26.0,26.799999,25.940001,26.690001
2023-01-17,26.629999,27.049999,26.190001,26.620001
2023-01-18,26.83,26.98,25.98,26.08
2023-01-19,25.65,26.98,25.58,26.77
2023-01-20,26.35,27.469999,26.190001,26.6
2023-01-23,26.59,26.915001,25.549999,26.690001
2023-01-24,27.65,27.65,25.620001,25.83
2023-01-25,25.5,26.320999,25.184999,26.120001
2023-01-26,26.450001,26.969999,25.75,26.370001
2023-01-27,26.27,27.18,26.129999,26.74
2023-01-30,26.200001,26.48,25.780001,25.92
2023-01-31,26.0,26.451,25.855,26.290001
2023-02-01,26.309999,26.74,25.299999,26.700001
2023-02-02,28.07,29.17,28.07,29.1
2023-02-03,28.219999,28.879999,27.290001,27.48
2023-02-06,27.129999,28.09,27.08,27.889999
2023-02-07,27.690001,27.98,25.85,26.450001
2023-02-08,26.219999,26.27,25.455,25.879999
2023-02-09,26.08,26.285,24.629999,24.73
2023-02-10,24.5,25.1,24.315001,24.84
2023-02-13,25.0,25.27,24.559999,24.700001
2023-02-14,24.43,25.059999,24.17,24.68
2023-02-15,24.639999,25.4,24.559999,25.379999
2023-02-16,25.0,25.35,24.809999,24.84
2023-02-17,24.57,24.790001,24.02,24.43
2023-02-21,24.0,24.629999,23.799999,24.450001
2023-02-22,24.559999,25.415001,24.559999,25.139999
2023-02-23,25.25,25.605,24.764999,25.5
2023-02-24,24.959999,25.280001,24.780001,25.030001
2023-02-27,25.219999,25.58,24.799999,24.99
2023-02-28,24.940001,25.469999,24.940001,25.110001
2023-03-01,25.08,25.190001,24.59,24.969999
2023-03-02,24.57,25.355,24.459999,25.34
2023-03-03,25.5,26.65,25.280001,26.4
2023-03-06,26.540001,27.549999,26.469999,26.68
2023-03-07,26.719999,27.455999,26.59,26.639999
2023-03-08,26.309999,26.309999,25.57,25.74
2023-03-09,25.75,26.1,24.780001,24.84
2023-03-10,24.6,24.67,23.639999,24.17
2023-03-13,23.790001,24.18,22.950001,23.690001
2023-03-14,24.370001,25.254999,24.209999,24.99
2023-03-15,24.49,25.040001,24.129999,25.030001
2023-03-16,25.129999,26.594999,25.018,26.530001
2023-03-17,26.5,26.83,26.145,26.370001
2023-03-20,25.85,26.77,25.780001,26.75
2023-03-21,27.0,27.834999,26.927999,27.52
2023-03-22,27.5,28.215,27.325001,27.469999
2023-03-23,27.91,28.525,27.219999,27.610001
2023-03-24,27.540001,27.775,27.219999,27.469999
2023-03-27,28.84,29.27,27.77,28.07
2023-03-28,27.93,28.040001,26.790001,26.84
2023-03-29,27.030001,27.055,26.32,26.5
2023-03-30,26.700001,26.870001,26.24,26.34
2023-03-31,26.6,27.33,26.530001,27.27
2023-04-03,27.870001,27.940001,27.33,27.75
2023-04-04,27.950001,28.190001,27.594999,27.98
2023-04-05,27.790001,28.040001,27.125,27.33
2023-04-06,27.370001,28.455,27.209999,28.25
2023-04-10,27.92,28.040001,27.59,27.940001
2023-04-11,28.0,28.415001,27.66,28.190001
2023-04-12,28.4,28.565001,27.620001,27.74
2023-04-13,28.025,28.65,28.025,28.459999
2023-04-14,28.389999,28.67,28.040001,28.58
2023-04-17,28.395,28.65,28.1,28.620001
2023-04-18,28.83,28.950001,28.18,28.18
2023-04-19,27.83,28.440001,27.605,28.219999
2023-04-20,27.58,28.360001,27.459999,27.530001
2023-04-21,27.43,27.58,27.145,27.389999
2023-04-24,27.41,27.809999,27.174999,27.629999
2023-04-25,27.469999,27.965,27.4,27.74
2023-04-26,27.809999,27.959999,26.41,26.610001
2023-04-27,27.65,27.799999,26.65,27.27
2023-04-28,24.5,24.5,22.1,23.0
2023-05-01,23.040001,23.08,21.809999,22.059999
2023-05-02,21.82,21.959999,21.040001,21.370001
2023-05-03,21.35,21.5,20.889999,20.91
2023-05-04,20.799999,21.264999,20.6,20.780001
2023-05-05,20.940001,21.1,20.75,21.01
2023-05-08,20.98,21.816999,20.879999,21.59
2023-05-09,21.370001,21.684999,21.355,21.469999
2023-05-10,21.790001,22.17,21.225,21.530001
2023-05-11,21.639999,21.709999,21.094999,21.48
2023-05-12,21.559999,21.639999,21.02,21.4
2023-05-15,21.389999,22.129999,21.254999,22.049999
2023-05-16,21.959999,22.058001,21.535,21.59
2023-05-17,21.559999,22.209999,21.481001,21.950001
