Date,Open,High,Low,Adj Close
2022-09-20,36.849998,37.59,36.259998,36.41
2022-09-21,36.66,37.77,35.77,35.810001
2022-09-22,35.439999,36.139999,34.900002,35.259998
2022-09-23,34.549999,35.580002,33.564999,35.540001
2022-09-26,36.279999,37.950001,35.48,35.549999
2022-09-27,36.66,38.080002,36.029999,36.59
2022-09-28,36.93,38.59,36.555,38.040001
2022-09-29,37.259998,37.41,35.310001,35.380001
2022-09-30,34.98,36.810001,34.812,35.84
2022-10-03,34.889999,36.669998,33.605,36.41
2022-10-04,37.75,39.150002,37.363998,38.68
2022-10-05,37.959999,38.490002,36.759998,38.0
2022-10-06,38.400002,39.810001,37.57,39.150002
2022-10-07,37.950001,38.060001,34.419998,34.82
2022-10-10,34.705002,35.889999,33.91,35.400002
2022-10-11,33.700001,35.599998,33.200001,34.560001
2022-10-12,34.450001,37.696999,34.450001,37.189999
2022-10-13,35.419998,38.110001,34.110001,37.919998
2022-10-14,38.700001,39.189999,35.48,35.560001
2022-10-17,41.200001,43.66,40.509998,42.610001
2022-10-18,43.029999,44.299999,42.310001,43.380001
2022-10-19,42.09,43.151001,41.099998,41.439999
2022-10-20,41.240002,43.32,41.240002,42.57
2022-10-21,41.509998,43.389999,40.91,42.810001
2022-10-24,41.799999,42.299999,40.41,41.849998
2022-10-25,43.540001,45.849998,43.209999,45.709999
2022-10-26,45.82,47.669998,45.27,45.5
2022-10-27,45.549999,46.900002,44.726002,46.5
2022-10-28,46.169998,46.73,45.220001,45.779999
2022-10-31,45.48,45.900002,43.972,44.740002
2022-11-01,45.509998,46.939999,44.244999,44.310001
2022-11-02,44.080002,45.549999,42.709999,42.869999
2022-11-03,42.099998,45.830002,42.07,43.299999
2022-11-04,45.064999,45.59,39.544998,40.580002
2022-11-07,39.959999,40.540001,37.849998,39.82
2022-11-08,39.639999,40.950001,38.700001,39.139999
2022-11-09,35.310001,36.75,30.681999,30.92
2022-11-10,33.330002,33.799999,31.280001,33.73
2022-11-11,34.0,36.900002,33.060001,36.740002
2022-11-14,36.150002,36.93,34.84,35.599998
2022-11-15,37.34,38.68,36.369999,36.73
2022-11-16,36.07,36.200001,34.310001,34.41
2022-11-17,33.369999,33.445,31.91,32.529999
2022-11-18,33.080002,33.130001,31.08,31.719999
2022-11-21,31.370001,31.48,29.459999,30.77
2022-11-22,30.610001,31.122999,29.719999,30.84
2022-11-23,31.219999,32.189999,31.162001,32.0
2022-11-25,31.5,31.93,31.290001,31.76
2022-11-28,31.309999,31.719999,30.809999,30.879999
2022-11-29,31.450001,31.59,29.67,29.83
2022-11-30,29.84,31.83,29.809999,31.77
2022-12-01,32.130001,33.578999,31.530001,33.389999
2022-12-02,31.83,34.014999,31.709999,33.990002
2022-12-05,33.689999,34.695,31.129999,31.24
2022-12-06,31.365,31.59,30.290001,30.65
2022-12-07,30.465,31.040001,30.138,30.77
