Date,Open,High,Low,Adj Close
2022-09-20,15.15,15.25,14.86,14.97
2022-09-21,15.07,15.21,14.55,14.55
2022-09-22,14.5,14.59,14.22,14.36
2022-09-23,14.18,14.34,13.84,14.14
2022-09-26,14.04,14.39,13.9,13.92
2022-09-27,14.12,14.39,13.96,14.37
2022-09-28,14.42,14.66,14.29,14.39
2022-09-29,14.16,14.19,13.69,14.01
2022-09-30,13.88,14.41,13.84,13.9
2022-10-03,14.04,14.11,13.67,13.96
2022-10-04,14.33,14.63,14.22,14.38
2022-10-05,14.05,14.64,13.99,14.58
2022-10-06,14.58,14.9,14.51,14.69
2022-10-07,14.41,14.55,14.2,14.34
2022-10-10,14.41,14.48,14.16,14.34
2022-10-11,14.26,14.6,13.91,14.14
2022-10-12,14.2,14.56,13.92,14.46
2022-10-13,14.07,14.55,13.65,14.52
2022-10-14,14.68,14.9,14.19,14.19
2022-10-17,14.42,14.65,14.21,14.49
2022-10-18,14.77,15.0,14.58,14.7
2022-10-19,14.56,14.63,14.17,14.29
2022-10-20,14.29,14.44,14.03,14.32
2022-10-21,14.34,14.75,14.19,14.6
2022-10-24,14.72,14.8,14.3,14.63
2022-10-25,14.78,15.39,14.74,15.28
2022-10-26,15.22,15.85,15.22,15.68
2022-10-27,15.76,15.99,15.55,15.83
2022-10-28,15.82,16.07,15.56,15.98
2022-10-31,15.89,16.27,15.63,16.120001
2022-11-01,16.360001,16.450001,16.01,16.139999
2022-11-02,16.1,16.18,15.42,15.44
2022-11-03,15.33,15.33,14.85,14.92
2022-11-04,15.12,15.56,15.0,15.55
2022-11-07,15.64,15.77,15.32,15.66
2022-11-08,15.7,16.0,15.47,15.75
2022-11-09,15.65,15.69,15.15,15.17
2022-11-10,15.92,16.559999,15.85,16.51
2022-11-11,16.549999,17.9,16.450001,17.67
2022-11-14,17.33,17.65,17.049999,17.4
2022-11-15,17.74,18.280001,17.639999,17.799999
2022-11-16,17.42,17.5,16.74,16.84
2022-11-17,17.85,17.85,16.73,17.35
2022-11-18,17.549999,17.639999,16.889999,17.1
2022-11-21,16.9,17.200001,16.719999,17.139999
2022-11-22,17.25,17.469999,17.07,17.459999
2022-11-23,17.5,17.98,17.4,17.780001
2022-11-25,17.709999,17.83,17.58,17.6
2022-11-28,17.4,17.709999,17.200001,17.290001
2022-11-29,17.25,17.41,16.860001,16.969999
2022-11-30,16.969999,17.549999,16.879999,17.530001
2022-12-01,17.58,17.870001,17.360001,17.860001
2022-12-02,17.57,18.17,17.5,18.15
2022-12-05,18.040001,18.24,17.790001,18.200001
2022-12-06,18.200001,18.200001,17.41,17.629999
2022-12-07,17.530001,17.719999,17.459999,17.52
2022-12-08,17.540001,17.92,17.459999,17.799999
2022-12-09,17.719999,18.16,17.549999,17.790001
2022-12-12,17.790001,18.040001,17.58,17.98
2022-12-13,18.540001,18.93,17.92,18.0
2022-12-14,17.870001,18.219999,17.73,17.93
2022-12-15,17.6,17.950001,17.469999,17.780001
2022-12-16,17.49,17.799999,17.450001,17.540001
2022-12-19,17.440001,17.5,17.1,17.139999
2022-12-20,16.959999,17.33,16.83,16.870001
2022-12-21,17.0,17.33,16.92,17.25
2022-12-22,17.01,17.16,16.629999,17.030001
2022-12-23,17.09,17.24,16.91,17.0
2022-12-27,16.85,16.889999,16.25,16.290001
2022-12-28,16.280001,16.35,15.96,15.97
2022-12-29,16.1,16.76,16.030001,16.639999
2022-12-30,16.4,16.91,16.209999,16.9
2023-01-03,17.129999,17.32,16.700001,16.85
2023-01-04,17.02,17.299999,16.92,17.1
2023-01-05,17.02,17.43,16.83,17.360001
2023-01-06,17.43,17.629999,17.299999,17.549999
2023-01-09,17.700001,18.18,17.65,17.780001
2023-01-10,17.66,18.219999,17.6,18.049999
2023-01-11,18.26,18.68,18.17,18.35
2023-01-12,18.360001,18.43,18.030001,18.18
2023-01-13,17.92,18.15,17.870001,18.09
2023-01-17,18.01,18.27,18.01,18.02
2023-01-18,18.209999,18.41,18.09,18.27
2023-01-19,18.17,18.27,17.92,18.129999
2023-01-20,18.26,18.389999,18.1,18.309999
