symbol,total_prices,stock_from_date,stock_to_date,total_earnings,earnings_from_date,earnings_to_date
AAPL,5899,02/01/1998,11/06/2021,48,21/07/2009,28/04/2021
AMZN,5899,02/01/1998,11/06/2021,48,23/07/2009,29/04/2021
NVDA,5633,22/01/1999,10/06/2021,50,07/05/2009,26/05/2021
TSLA,2758,29/06/2010,11/06/2021,44,04/08/2010,26/04/2021
FB,2282,18/05/2012,14/06/2021,36,26/07/2012,28/04/2021
MSFT,5899,02/01/1998,11/06/2021,48,23/07/2009,27/04/2021
IBM,5895,02/01/1998,07/06/2021,48,16/07/2009,19/04/2021
GOOG,1816,27/03/2014,11/06/2021,37,12/04/2012,27/04/2021
TWTR,1909,07/11/2013,09/06/2021,30,05/02/2014,29/04/2021
ATVI,5899,02/01/1998,11/06/2021,49,07/05/2009,04/05/2021
CM,5894,02/01/1998,04/06/2021,46,28/05/2009,27/05/2021
ADBE,5899,02/01/1998,11/06/2021,48,16/06/2009,23/03/2021
