symbol,date,dividend
IBM,08/02/2012,0.75
IBM,06/02/2013,0.85
IBM,08/08/2017,1.5
IBM,06/02/2003,0.15
IBM,07/11/2012,0.85
IBM,08/11/2005,0.2
IBM,08/08/2016,1.4
IBM,06/08/2003,0.16
IBM,08/02/2017,1.4
IBM,08/11/2006,0.3
IBM,08/11/2011,0.75
IBM,08/02/2016,1.3
IBM,08/02/2006,0.2
IBM,06/05/2005,0.2
IBM,06/11/2008,0.5
IBM,06/11/2002,0.15
IBM,06/08/2009,0.55
IBM,08/11/2000,0.13
IBM,08/05/2007,0.4
IBM,06/08/2010,0.65
IBM,06/11/2009,0.55
IBM,06/08/2015,1.3
IBM,06/05/2010,0.65
IBM,08/05/2002,0.15
IBM,08/05/2013,0.95
IBM,08/05/2017,1.5
IBM,08/11/2016,1.4
IBM,07/02/2007,0.3
IBM,06/02/2009,0.5
IBM,08/11/2010,0.65
IBM,06/11/2013,0.95
IBM,06/05/2011,0.75
IBM,06/11/2015,1.3
IBM,08/11/2004,0.18
IBM,09/11/2017,1.5
IBM,06/05/2009,0.55
IBM,08/05/2000,0.13
IBM,08/05/2006,0.3
IBM,08/08/2012,0.85
IBM,06/02/2008,0.4
IBM,06/08/2014,1.1
IBM,08/05/2001,0.14
IBM,08/08/2005,0.2
IBM,08/02/2011,0.65
IBM,07/11/2007,0.4
IBM,08/08/2011,0.75
IBM,08/05/2012,0.85
IBM,08/08/2000,0.13
IBM,07/11/2001,0.14
IBM,07/08/2002,0.15
IBM,06/02/2014,0.95
IBM,08/02/2000,0.12
IBM,06/05/2015,1.3
IBM,08/08/2001,0.14
IBM,08/02/2005,0.18
IBM,06/11/2014,1.1
IBM,06/02/2015,1.1
IBM,06/05/2016,1.4
IBM,08/08/2007,0.4
IBM,06/11/2003,0.16
IBM,07/08/2013,0.95
IBM,06/02/2002,0.14
IBM,08/08/2006,0.3
IBM,06/08/2004,0.18
IBM,07/05/2014,1.1
IBM,08/02/2010,0.55
IBM,07/05/2008,0.5
IBM,06/02/2004,0.16
IBM,06/08/2008,0.5
IBM,06/05/2004,0.18
IBM,07/02/2001,0.13
IBM,07/05/2003,0.16
IBM,08/02/2018,1.5
IBM,09/05/2018,1.57
IBM,07/02/2019,1.57
IBM,08/02/1999,0.22
IBM,06/05/1999,0.24
IBM,09/08/2018,1.57
IBM,06/11/1998,0.22
IBM,06/08/1998,0.22
IBM,06/08/1999,0.12
IBM,06/05/1998,0.22
IBM,08/11/2018,1.57
IBM,08/11/1999,0.12
IBM,06/02/1998,0.2
IBM,09/05/2019,1.62
IBM,08/08/2019,1.62
IBM,07/11/2019,1.62
IBM,07/02/2020,1.62
IBM,07/05/2020,1.63
IBM,07/08/2020,1.63
IBM,09/11/2020,1.63
IBM,09/02/2021,1.63
IBM,07/05/2021,1.64
AAPL,07/08/2014,0.47
AAPL,03/11/2016,0.57
AAPL,04/08/2016,0.57
AAPL,07/11/2012,2.65
AAPL,09/02/2017,0.57
AAPL,07/05/2015,0.52
AAPL,09/08/2012,2.65
AAPL,05/05/2016,0.57
AAPL,06/11/2014,0.47
AAPL,10/11/2017,0.63
AAPL,06/08/2015,0.52
AAPL,05/11/2015,0.52
AAPL,07/02/2013,2.65
AAPL,11/05/2017,0.63
AAPL,10/08/2017,0.63
AAPL,06/02/2014,3.05
AAPL,09/05/2013,3.05
AAPL,08/08/2013,3.05
AAPL,06/11/2013,3.05
AAPL,08/05/2014,3.29
AAPL,04/02/2016,0.52
AAPL,05/02/2015,0.47
AAPL,09/02/2018,0.63
AAPL,11/05/2018,0.73
AAPL,10/08/2018,0.73
AAPL,08/11/2018,0.73
AAPL,08/02/2019,0.73
AAPL,10/05/2019,0.77
AAPL,09/08/2019,0.77
AAPL,07/11/2019,0.77
AAPL,07/02/2020,0.77
AAPL,08/05/2020,0.82
AAPL,07/08/2020,0.82
AAPL,06/11/2020,0.205
AAPL,05/02/2021,0.205
AAPL,07/05/2021,0.22
NVDA,22/02/2017,0.14
NVDA,20/08/2013,0.075
NVDA,29/02/2016,0.115
NVDA,19/11/2014,0.085
NVDA,25/02/2014,0.085
NVDA,23/11/2016,0.14
NVDA,19/05/2015,0.0975
NVDA,22/08/2017,0.14
NVDA,18/11/2015,0.115
NVDA,20/05/2014,0.085
NVDA,24/05/2016,0.115
NVDA,19/05/2017,0.14
NVDA,21/05/2013,0.075
NVDA,24/02/2015,0.085
NVDA,23/08/2016,0.115
NVDA,19/11/2013,0.085
NVDA,18/08/2015,0.0975
NVDA,22/11/2017,0.15
NVDA,20/11/2012,0.075
NVDA,19/08/2014,0.085
NVDA,26/02/2013,0.075
NVDA,22/02/2018,0.15
NVDA,23/05/2018,0.15
NVDA,29/08/2018,0.15
NVDA,29/11/2018,0.16
NVDA,30/05/2019,0.16
NVDA,28/08/2019,0.16
NVDA,27/11/2019,0.16
NVDA,27/02/2020,0.16
NVDA,04/06/2020,0.16
NVDA,01/09/2020,0.16
NVDA,03/12/2020,0.16
NVDA,09/03/2021,0.16
NVDA,09/06/2021,0.16
MSFT,15/11/2016,0.39
MSFT,17/05/2011,0.16
MSFT,13/05/2008,0.11
MSFT,15/02/2011,0.16
MSFT,14/02/2012,0.2
MSFT,16/08/2011,0.16
MSFT,15/02/2006,0.09
MSFT,18/11/2014,0.31
MSFT,19/05/2015,0.31
MSFT,18/11/2008,0.13
MSFT,16/02/2016,0.36
MSFT,16/05/2005,0.08
MSFT,23/08/2004,0.08
MSFT,13/11/2007,0.11
MSFT,14/11/2006,0.1
MSFT,18/05/2010,0.13
MSFT,16/08/2016,0.36
MSFT,18/08/2015,0.31
MSFT,15/11/2011,0.2
MSFT,15/11/2005,0.08
MSFT,13/02/2007,0.1
MSFT,15/08/2017,0.39
MSFT,18/02/2014,0.28
MSFT,14/08/2012,0.2
MSFT,17/11/2015,0.36
MSFT,17/05/2016,0.36
MSFT,14/05/2013,0.23
MSFT,13/11/2012,0.23
MSFT,17/02/2015,0.31
MSFT,15/02/2005,0.08
MSFT,19/08/2008,0.11
MSFT,19/02/2003,0.08
MSFT,15/05/2012,0.2
MSFT,15/10/2003,0.16
MSFT,15/11/2004,3.08
MSFT,15/05/2006,0.09
MSFT,16/05/2017,0.39
MSFT,15/08/2005,0.08
MSFT,19/02/2013,0.23
MSFT,14/08/2007,0.1
MSFT,18/08/2009,0.13
MSFT,16/02/2010,0.13
MSFT,19/02/2008,0.11
MSFT,16/11/2010,0.16
MSFT,19/11/2013,0.28
MSFT,17/08/2010,0.13
MSFT,14/02/2017,0.39
MSFT,15/08/2006,0.09
MSFT,15/11/2017,0.42
MSFT,15/05/2007,0.1
MSFT,13/05/2014,0.28
MSFT,19/08/2014,0.28
MSFT,17/02/2009,0.13
MSFT,13/08/2013,0.23
MSFT,17/11/2009,0.13
MSFT,19/05/2009,0.13
MSFT,14/02/2018,0.42
MSFT,16/05/2018,0.42
MSFT,15/08/2018,0.42
MSFT,14/11/2018,0.46
MSFT,20/02/2019,0.46
MSFT,15/05/2019,0.46
MSFT,14/08/2019,0.46
MSFT,20/11/2019,0.51
MSFT,19/02/2020,0.51
MSFT,20/05/2020,0.51
MSFT,19/08/2020,0.51
MSFT,18/11/2020,0.56
MSFT,17/02/2021,0.56
MSFT,19/05/2021,0.56
IBM,08/02/2012,0.75
IBM,06/02/2013,0.85
IBM,08/08/2017,1.5
IBM,06/02/2003,0.15
IBM,07/11/2012,0.85
IBM,08/11/2005,0.2
IBM,08/08/2016,1.4
IBM,06/08/2003,0.16
IBM,08/02/2017,1.4
IBM,08/11/2006,0.3
IBM,08/11/2011,0.75
IBM,08/02/2016,1.3
IBM,08/02/2006,0.2
IBM,06/05/2005,0.2
IBM,06/11/2008,0.5
IBM,06/11/2002,0.15
IBM,06/08/2009,0.55
IBM,08/11/2000,0.13
IBM,08/05/2007,0.4
IBM,06/08/2010,0.65
IBM,06/11/2009,0.55
IBM,06/08/2015,1.3
IBM,06/05/2010,0.65
IBM,08/05/2002,0.15
IBM,08/05/2013,0.95
IBM,08/05/2017,1.5
IBM,08/11/2016,1.4
IBM,07/02/2007,0.3
IBM,06/02/2009,0.5
IBM,08/11/2010,0.65
IBM,06/11/2013,0.95
IBM,06/05/2011,0.75
IBM,06/11/2015,1.3
IBM,08/11/2004,0.18
IBM,09/11/2017,1.5
IBM,06/05/2009,0.55
IBM,08/05/2000,0.13
IBM,08/05/2006,0.3
IBM,08/08/2012,0.85
IBM,06/02/2008,0.4
IBM,06/08/2014,1.1
IBM,08/05/2001,0.14
IBM,08/08/2005,0.2
IBM,08/02/2011,0.65
IBM,07/11/2007,0.4
IBM,08/08/2011,0.75
